course_id;course_name;course_type;course_period;vacancies;campus;city;state_uf;university;uni_abrev
120978;ABI - HISTÓRIA;Área Básica de Ingresso (ABI);Noturno;0;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121232;HISTÓRIA;Licenciatura;Vespertino;45;UNIDADE SEDE;João Pessoa;PB;UNIVERSIDADE FEDERAL DA PARAÍBA;UFPB
120979;EDUCAÇÃO FÍSICA;Licenciatura;Integral;9;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120980;ENGENHARIA AUTOMOTIVA;Bacharelado;Integral;7;CAMPUS DE JOINVILLE;Joinville;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120981;DIREITO;Bacharelado;Noturno;13;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120982;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;Bacharelado;Integral;10;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120983;ABI - LETRAS INGLÊS;Área Básica de Ingresso (ABI);Matutino;12;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120984;ENGENHARIA DE ENERGIA;Bacharelado;Integral;9;CAMPUS ARARANGUÁ - JARDIM DAS AVENIDAS;Araranguá;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120985;ENGENHARIA DE PRODUÇÃO ELÉTRICA;Bacharelado;Integral;6;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120986;CIÊNCIAS CONTÁBEIS;Bacharelado;Noturno;13;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
120987;FÍSICA;Licenciatura;Noturno;22;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
